#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PBK	NUSAP1	982475	978567	ENSP00000301905	ENSP00000260359	0.000	0.000	0.000	0.000	0.919	0.000	0.000	0.000	0.919
ASPM	CCNB1	989461	978198	ENSP00000356379	ENSP00000256442	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
KIAA0101	CCNA2	982226	980270	ENSP00000300035	ENSP00000274026	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
ASPM	TPX2	989461	982281	ENSP00000356379	ENSP00000300403	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
PBK	MELK	982475	981987	ENSP00000301905	ENSP00000298048	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.901
CCNA2	KIF11	980270	978609	ENSP00000274026	ENSP00000260731	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.918
TPX2	CCNA2	982281	980270	ENSP00000300403	ENSP00000274026	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
CDC20	TK1	983275	982435	ENSP00000308450	ENSP00000301634	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
KIF20A	CCNA2	993457	980270	ENSP00000378356	ENSP00000274026	0.000	0.000	0.000	0.000	0.915	0.000	0.000	0.000	0.915
CDKN3	DLGAP5	986397	977576	ENSP00000335357	ENSP00000247191	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.904
PBK	NDC80	982475	978749	ENSP00000301905	ENSP00000261597	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
RRM2	TPX2	982609	982281	ENSP00000302955	ENSP00000300403	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
TK1	BIRC5	982435	982434	ENSP00000301634	ENSP00000301633	0.000	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.930
BIRC5	BUB1B	982434	981056	ENSP00000301633	ENSP00000287598	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.918
CEP55	NCAPG	990371	977793	ENSP00000360540	ENSP00000251496	0.000	0.000	0.000	0.000	0.938	0.000	0.000	0.000	0.938
BIRC5	CCNB1	982434	978198	ENSP00000301633	ENSP00000256442	0.000	0.000	0.000	0.000	0.917	0.000	0.000	0.000	0.917
ASPM	MAD2L1	989461	981786	ENSP00000356379	ENSP00000296509	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.907
NUSAP1	DLGAP5	978567	977576	ENSP00000260359	ENSP00000247191	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
CDC20	CCNB1	983275	978198	ENSP00000308450	ENSP00000256442	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
CDC20	MAD2L1	983275	981786	ENSP00000308450	ENSP00000296509	0.000	0.000	0.000	0.000	0.928	0.000	0.000	0.000	0.928
CDC20	DLGAP5	983275	977576	ENSP00000308450	ENSP00000247191	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
TK1	TPX2	982435	982281	ENSP00000301634	ENSP00000300403	0.000	0.000	0.000	0.000	0.906	0.000	0.000	0.000	0.906
CDCA8	PBK	984132	982475	ENSP00000316121	ENSP00000301905	0.000	0.000	0.000	0.000	0.929	0.000	0.000	0.000	0.929
TYMS	RRM2	984083	982609	ENSP00000315644	ENSP00000302955	0.000	0.000	0.000	0.000	0.925	0.000	0.000	0.000	0.925
TOP2A	ASPM	997342	989461	ENSP00000411532	ENSP00000356379	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
FOXM1	TPX2	987226	982281	ENSP00000342307	ENSP00000300403	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
FEN1	RFC4	982899	981740	ENSP00000305480	ENSP00000296273	0.000	0.000	0.000	0.000	0.936	0.000	0.000	0.000	0.936
TPX2	BUB1B	982281	981056	ENSP00000300403	ENSP00000287598	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.000	0.934
KIF20A	MKI67	993457	989719	ENSP00000378356	ENSP00000357643	0.000	0.000	0.000	0.000	0.913	0.000	0.000	0.000	0.913
PRC1	CEP55	993399	990371	ENSP00000377793	ENSP00000360540	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
PRC1	KIF4A	993399	990994	ENSP00000377793	ENSP00000363524	0.000	0.000	0.000	0.493	0.903	0.000	0.000	0.000	0.903
TOP2A	KIF20A	997342	993457	ENSP00000411532	ENSP00000378356	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
MAD2L1	CCNB1	981786	978198	ENSP00000296509	ENSP00000256442	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.000	0.934
KIF11	RAD51AP1	978609	976826	ENSP00000260731	ENSP00000228843	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
KIF20A	CDCA8	993457	984132	ENSP00000378356	ENSP00000316121	0.000	0.000	0.000	0.000	0.928	0.000	0.000	0.000	0.928
BIRC5	NCAPG	982434	977793	ENSP00000301633	ENSP00000251496	0.000	0.000	0.000	0.000	0.919	0.000	0.000	0.000	0.919
KIF20A	PRC1	993457	993399	ENSP00000378356	ENSP00000377793	0.000	0.000	0.000	0.000	0.936	0.000	0.000	0.000	0.936
TOP2A	PRC1	997342	993399	ENSP00000411532	ENSP00000377793	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
BUB1B	NDC80	981056	978749	ENSP00000287598	ENSP00000261597	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
CDC20	BUB1B	983275	981056	ENSP00000308450	ENSP00000287598	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
CDKN3	BIRC5	986397	982434	ENSP00000335357	ENSP00000301633	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
HMMR	NCAPG	993371	977793	ENSP00000377492	ENSP00000251496	0.000	0.000	0.000	0.000	0.929	0.000	0.000	0.000	0.929
CEP55	NDC80	990371	978749	ENSP00000360540	ENSP00000261597	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
CENPF	BUB1B	989360	981056	ENSP00000355922	ENSP00000287598	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
ASPM	TTK	989461	976923	ENSP00000356379	ENSP00000230510	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
KIF20A	ASPM	993457	989461	ENSP00000378356	ENSP00000356379	0.000	0.000	0.000	0.000	0.922	0.000	0.000	0.000	0.922
RRM2	RAD51AP1	982609	976826	ENSP00000302955	ENSP00000228843	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
KIF11	DLGAP5	978609	977576	ENSP00000260731	ENSP00000247191	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.905
CCNA2	CCNB1	980270	978198	ENSP00000274026	ENSP00000256442	0.000	0.000	0.000	0.827	0.911	0.000	0.000	0.000	0.911
MAD2L1	NDC80	981786	978749	ENSP00000296509	ENSP00000261597	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
ASPM	NUSAP1	989461	978567	ENSP00000356379	ENSP00000260359	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.918
BUB1B	GINS1	981056	978969	ENSP00000287598	ENSP00000262460	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
TPX2	NCAPG	982281	977793	ENSP00000300403	ENSP00000251496	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.923
PRC1	CDCA8	993399	984132	ENSP00000377793	ENSP00000316121	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
KIF20A	CDKN3	993457	986397	ENSP00000378356	ENSP00000335357	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
FEN1	RRM2	982899	982609	ENSP00000305480	ENSP00000302955	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
CDC20	BIRC5	983275	982434	ENSP00000308450	ENSP00000301633	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
CEP55	SHCBP1	990371	983020	ENSP00000360540	ENSP00000306473	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.000	0.933
ASPM	KIF11	989461	978609	ENSP00000356379	ENSP00000260731	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
PBK	CCNB1	982475	978198	ENSP00000301905	ENSP00000256442	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
SHCBP1	NCAPG	983020	977793	ENSP00000306473	ENSP00000251496	0.000	0.000	0.000	0.000	0.929	0.000	0.000	0.000	0.929
RRM2	KIAA0101	982609	982226	ENSP00000302955	ENSP00000300035	0.000	0.000	0.000	0.000	0.906	0.000	0.000	0.000	0.906
CDC20	KIF11	983275	978609	ENSP00000308450	ENSP00000260731	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
NUSAP1	CCNB1	978567	978198	ENSP00000260359	ENSP00000256442	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
KIF20A	KIF11	993457	978609	ENSP00000378356	ENSP00000260731	0.000	0.000	0.000	0.630	0.919	0.000	0.000	0.000	0.919
RACGAP1	NUSAP1	983456	978567	ENSP00000309871	ENSP00000260359	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
NDC80	NUSAP1	978749	978567	ENSP00000261597	ENSP00000260359	0.000	0.000	0.000	0.000	0.915	0.000	0.000	0.000	0.916
BIRC5	KIF11	982434	978609	ENSP00000301633	ENSP00000260731	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.905
MAD2L1	NUSAP1	981786	978567	ENSP00000296509	ENSP00000260359	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
KIF4A	CDCA8	990994	984132	ENSP00000363524	ENSP00000316121	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
PBK	CCNA2	982475	980270	ENSP00000301905	ENSP00000274026	0.000	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.921
MELK	BUB1B	981987	981056	ENSP00000298048	ENSP00000287598	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
PRC1	TTK	993399	976923	ENSP00000377793	ENSP00000230510	0.000	0.000	0.000	0.000	0.910	0.000	0.000	0.000	0.910
FEN1	CCNA2	982899	980270	ENSP00000305480	ENSP00000274026	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.914
CDKN3	CDC20	986397	983275	ENSP00000335357	ENSP00000308450	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.905
MAD2L1	DLGAP5	981786	977576	ENSP00000296509	ENSP00000247191	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.904
RRM2	PBK	982609	982475	ENSP00000302955	ENSP00000301905	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.913
CCNB2	NUSAP1	981103	978567	ENSP00000288207	ENSP00000260359	0.000	0.000	0.000	0.000	0.913	0.000	0.000	0.000	0.913
KIF20A	DLGAP5	993457	977576	ENSP00000378356	ENSP00000247191	0.000	0.000	0.000	0.000	0.912	0.000	0.000	0.000	0.912
PRC1	RACGAP1	993399	983456	ENSP00000377793	ENSP00000309871	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.000	0.937
KIF20A	KIF4A	993457	990994	ENSP00000378356	ENSP00000363524	0.000	0.000	0.000	0.630	0.905	0.000	0.000	0.000	0.905
RRM2	MCM2	982609	979527	ENSP00000302955	ENSP00000265056	0.000	0.000	0.000	0.000	0.913	0.000	0.000	0.000	0.913
ASPM	NDC80	989461	978749	ENSP00000356379	ENSP00000261597	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.907
MKI67	NUSAP1	989719	978567	ENSP00000357643	ENSP00000260359	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
RRM2	NCAPG	982609	977793	ENSP00000302955	ENSP00000251496	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
CCNA2	RAD51AP1	980270	976826	ENSP00000274026	ENSP00000228843	0.000	0.000	0.000	0.000	0.913	0.000	0.000	0.000	0.913
KIF20A	TPX2	993457	982281	ENSP00000378356	ENSP00000300403	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
CDKN3	CCNB1	986397	978198	ENSP00000335357	ENSP00000256442	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
NUSAP1	NCAPG	978567	977793	ENSP00000260359	ENSP00000251496	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
MAD2L1	BUB1B	981786	981056	ENSP00000296509	ENSP00000287598	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
PRC1	MAD2L1	993399	981786	ENSP00000377793	ENSP00000296509	0.000	0.000	0.000	0.000	0.938	0.000	0.000	0.000	0.939
SHCBP1	RRM2	983020	982609	ENSP00000306473	ENSP00000302955	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
CDC20	TPX2	983275	982281	ENSP00000308450	ENSP00000300403	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
KIF20A	MAD2L1	993457	981786	ENSP00000378356	ENSP00000296509	0.000	0.000	0.000	0.000	0.929	0.000	0.000	0.000	0.929
BUB1B	KIF11	981056	978609	ENSP00000287598	ENSP00000260731	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
NDC80	CCNB1	978749	978198	ENSP00000261597	ENSP00000256442	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.905
KIF20A	PBK	993457	982475	ENSP00000378356	ENSP00000301905	0.000	0.000	0.000	0.000	0.922	0.000	0.000	0.000	0.922
CDC20	RRM2	983275	982609	ENSP00000308450	ENSP00000302955	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
CEP55	ASPM	990371	989461	ENSP00000360540	ENSP00000356379	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
HMMR	PBK	993371	982475	ENSP00000377492	ENSP00000301905	0.000	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.921
RRM2	GINS1	982609	978969	ENSP00000302955	ENSP00000262460	0.000	0.000	0.000	0.000	0.917	0.000	0.000	0.000	0.917
KIF20A	CDC20	993457	983275	ENSP00000378356	ENSP00000308450	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
CEP55	MELK	990371	981987	ENSP00000360540	ENSP00000298048	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
TYMS	MCM2	984083	979527	ENSP00000315644	ENSP00000265056	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
PBK	TPX2	982475	982281	ENSP00000301905	ENSP00000300403	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.000	0.933
TOP2A	NUSAP1	997342	978567	ENSP00000411532	ENSP00000260359	0.000	0.000	0.000	0.000	0.905	0.000	0.000	0.000	0.905
TOP2A	CDC20	997342	983275	ENSP00000411532	ENSP00000308450	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.901
MKI67	KIAA0101	989719	982226	ENSP00000357643	ENSP00000300035	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
TOP2A	CCNA2	997342	980270	ENSP00000411532	ENSP00000274026	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
PRC1	NUSAP1	993399	978567	ENSP00000377793	ENSP00000260359	0.000	0.000	0.000	0.000	0.941	0.000	0.000	0.000	0.941
PRC1	FOXM1	993399	987226	ENSP00000377793	ENSP00000342307	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.914
CDKN3	KIAA0101	986397	982226	ENSP00000335357	ENSP00000300035	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
MAD2L1	MCM2	981786	979527	ENSP00000296509	ENSP00000265056	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
PRC1	KIF11	993399	978609	ENSP00000377793	ENSP00000260731	0.000	0.000	0.000	0.000	0.926	0.000	0.000	0.000	0.926
CDC20	CCNA2	983275	980270	ENSP00000308450	ENSP00000274026	0.000	0.000	0.000	0.000	0.904	0.000	0.000	0.000	0.904
RRM2	MAD2L1	982609	981786	ENSP00000302955	ENSP00000296509	0.000	0.000	0.000	0.000	0.928	0.000	0.000	0.000	0.928
MAD2L1	RAD51AP1	981786	976826	ENSP00000296509	ENSP00000228843	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.911
FEN1	MCM2	982899	979527	ENSP00000305480	ENSP00000265056	0.000	0.000	0.000	0.000	0.952	0.000	0.000	0.000	0.952
TOP2A	CCNB1	997342	978198	ENSP00000411532	ENSP00000256442	0.000	0.000	0.000	0.000	0.903	0.000	0.000	0.000	0.903
KIF20A	NCAPG	993457	977793	ENSP00000378356	ENSP00000251496	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.915
TPX2	CCNB1	982281	978198	ENSP00000300403	ENSP00000256442	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.900
CCNA2	NUSAP1	980270	978567	ENSP00000274026	ENSP00000260359	0.000	0.000	0.000	0.000	0.914	0.000	0.000	0.000	0.914
BUB1B	CCNA2	981056	980270	ENSP00000287598	ENSP00000274026	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
PRC1	DTL	993399	989370	ENSP00000377793	ENSP00000355958	0.000	0.000	0.000	0.000	0.906	0.000	0.000	0.000	0.906
PRC1	CCNB1	993399	978198	ENSP00000377793	ENSP00000256442	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
BUB1B	NCAPG	981056	977793	ENSP00000287598	ENSP00000251496	0.000	0.000	0.000	0.000	0.929	0.000	0.000	0.000	0.929
HMMR	TPX2	993371	982281	ENSP00000377492	ENSP00000300403	0.000	0.000	0.000	0.000	0.918	0.000	0.000	0.000	0.918
CEP55	RRM2	990371	982609	ENSP00000360540	ENSP00000302955	0.000	0.000	0.000	0.000	0.908	0.000	0.000	0.000	0.908
CCNA2	DLGAP5	980270	977576	ENSP00000274026	ENSP00000247191	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.901
FEN1	GINS1	982899	978969	ENSP00000305480	ENSP00000262460	0.000	0.000	0.000	0.000	0.909	0.000	0.000	0.000	0.909
BIRC5	MAD2L1	982434	981786	ENSP00000301633	ENSP00000296509	0.000	0.000	0.000	0.000	0.921	0.000	0.000	0.000	0.921
PBK	BIRC5	982475	982434	ENSP00000301905	ENSP00000301633	0.000	0.000	0.000	0.000	0.922	0.000	0.000	0.000	0.922
KIF20A	BUB1B	993457	981056	ENSP00000378356	ENSP00000287598	0.000	0.000	0.000	0.000	0.916	0.000	0.000	0.000	0.916
CEP55	BUB1B	990371	981056	ENSP00000360540	ENSP00000287598	0.000	0.000	0.000	0.000	0.937	0.000	0.000	0.000	0.937
HMMR	ASPM	993371	989461	ENSP00000377492	ENSP00000356379	0.000	0.000	0.000	0.000	0.902	0.000	0.000	0.000	0.902
PRC1	RRM2	993399	982609	ENSP00000377793	ENSP00000302955	0.000	0.000	0.000	0.000	0.915	0.000	0.000	0.000	0.915
HMMR	MAD2L1	993371	981786	ENSP00000377492	ENSP00000296509	0.000	0.000	0.000	0.000	0.911	0.000	0.000	0.000	0.912
PRC1	MCM2	993399	979527	ENSP00000377793	ENSP00000265056	0.000	0.000	0.000	0.000	0.919	0.000	0.000	0.000	0.919
