chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr10	444997	445217	221	14	136	0.615	0.67
chr10	453088	453167	80	7	47	0.588	1.037
chr10	459713	460021	309	21	200	0.647	0.676
chr10	461810	462033	224	12	133	0.594	0.61
chr10	463460	463727	268	12	169	0.631	0.452
chr10	464098	464558	461	18	267	0.579	0.472
chr10	464903	465118	216	18	124	0.574	1.016
chr10	465333	465615	283	13	146	0.516	0.694
chr10	465844	466548	705	49	413	0.586	0.81
chr10	466737	466904	168	10	103	0.613	0.656
chr10	467957	468444	488	23	249	0.51	0.739
chr10	468688	468862	175	12	106	0.606	0.752
chr10	470960	471356	397	22	190	0.479	0.981
chr10	485223	485338	116	8	67	0.578	0.884
chr10	490145	490480	336	14	175	0.521	0.627
chr10	498298	498596	299	12	141	0.472	0.726
chr10	516539	516720	182	10	100	0.549	0.772
chr10	518241	518472	232	19	151	0.651	0.774
chr10	519383	519599	217	13	119	0.548	0.834
chr10	520470	520568	99	5	59	0.596	0.62
chr10	525795	526108	314	19	200	0.637	0.612
chr10	526414	527138	725	35	411	0.567	0.61
chr10	527720	528155	436	19	260	0.596	0.492
chr10	529279	529529	251	15	154	0.614	0.642
chr10	530744	531374	631	38	381	0.604	0.665
chr10	532287	532411	125	6	73	0.584	0.568
chr10	532719	532930	212	9	124	0.585	0.5
chr10	533359	533488	130	8	77	0.592	0.77
chr10	534667	535056	390	17	204	0.523	0.638
chr10	535650	536466	817	36	484	0.592	0.511
chr10	537097	537220	124	8	78	0.629	0.652
chr10	548982	549172	191	11	98	0.513	1.05
chr10	550236	550961	726	27	382	0.526	0.546
chr10	552995	553635	641	29	349	0.544	0.612
chr10	554711	555818	1108	47	638	0.576	0.514
chr10	556391	556764	374	15	203	0.543	0.545
chr10	556950	557273	324	15	180	0.556	0.6
chr10	557562	557723	162	6	100	0.617	0.422
chr10	557892	557997	106	9	67	0.632	0.855
chr10	559409	559515	107	12	76	0.71	1.081
chr10	560323	560656	334	16	207	0.62	0.514
chr10	566119	566196	78	6	50	0.641	0.75
chr10	568755	569010	256	12	140	0.547	0.627
chr10	574334	574672	339	15	190	0.56	0.578
chr10	575938	576064	127	12	83	0.654	0.895
chr10	576948	577331	384	23	205	0.534	0.883
chr10	577504	577762	259	15	148	0.571	0.712
chr10	589179	589465	287	9	143	0.498	0.507
chr10	589880	590016	137	9	75	0.547	0.877
chr10	616918	617262	345	17	202	0.586	0.583
chr10	629582	629729	148	9	74	0.5	1.009
chr10	630384	631306	923	63	572	0.62	0.824
chr10	633085	633311	227	13	139	0.612	0.611
chr10	639972	640141	170	10	97	0.571	0.726
chr10	640362	641087	726	31	377	0.519	0.635
chr10	641639	642033	395	13	189	0.478	0.575
chr10	651074	651184	111	5	62	0.559	0.58
chr10	651965	653154	1190	57	681	0.572	0.589
chr10	661057	661390	334	15	176	0.527	0.651
chr10	664696	664806	111	10	72	0.649	0.928
chr10	665102	665504	403	19	229	0.568	0.632
chr10	667052	667121	70	8	48	0.686	0.988
chr10	670772	671215	444	27	281	0.633	0.607
chr10	671446	671630	185	11	116	0.627	0.605
chr10	672737	673999	1263	57	690	0.546	0.619
chr10	675907	676118	212	10	109	0.514	0.76
chr10	676545	676864	320	16	198	0.619	0.524
chr10	677302	677485	184	8	106	0.576	0.524
chr10	678153	679054	902	71	574	0.636	0.781
chr10	679215	679488	274	26	188	0.686	0.822
chr10	682320	682958	639	33	346	0.541	0.733
chr10	685081	685574	494	37	323	0.654	0.707
chr10	685878	686911	1034	81	683	0.661	0.718
chr10	693239	695190	1952	74	1047	0.536	0.56
chr10	697747	697938	192	11	112	0.583	0.677
chr10	709592	710415	824	27	451	0.547	0.438
chr10	711539	711695	157	14	94	0.599	1.077
chr10	711912	712034	123	10	81	0.659	0.753
chr10	712207	712594	388	27	250	0.644	0.671
chr10	716097	716281	185	13	90	0.486	1.279
chr10	717060	718331	1272	129	776	0.61	1.094
chr10	724510	725486	977	67	710	0.727	0.839
chr10	729420	729969	550	23	285	0.518	0.625
chr10	734438	736244	1807	232	1318	0.729	0.967
chr10	736695	737440	746	39	473	0.634	0.574
chr10	743275	744014	740	35	446	0.603	0.535
chr10	766077	766514	438	15	229	0.523	0.502
chr10	768627	770138	1512	58	801	0.53	0.548
chr10	772294	773163	870	68	534	0.614	0.919
chr10	778073	778285	213	11	121	0.568	0.64
chr10	781906	782190	285	13	185	0.649	0.441
chr10	783077	783432	356	16	228	0.64	0.446
chr10	784008	784289	282	13	182	0.645	0.451
chr10	792051	792226	176	15	104	0.591	0.978
chr10	819603	820511	909	37	559	0.615	0.444
chr10	820735	821501	767	40	460	0.6	0.582
chr10	822784	823839	1056	54	693	0.656	0.497
chr10	829343	829472	130	11	95	0.731	0.681
chr10	829799	831279	1481	109	1057	0.714	0.592
chr10	832646	833426	781	40	492	0.63	0.524
chr10	834371	834572	202	13	116	0.574	0.782
chr10	834847	835889	1043	57	661	0.634	0.545
chr10	839649	840203	555	46	307	0.553	1.119
chr10	850845	852024	1180	73	769	0.652	0.589
chr10	853010	853342	333	16	168	0.505	0.759
chr10	855676	855948	273	20	163	0.597	0.825
chr10	856385	856583	199	9	113	0.568	0.565
chr10	860643	860997	355	24	201	0.566	0.844
chr10	976538	978993	2456	250	1821	0.741	0.793
chr10	994934	995281	348	15	192	0.552	0.601
chr10	1000298	1000641	344	21	213	0.619	0.717
chr10	1005528	1005893	366	21	222	0.607	1.821
chr10	1011183	1011468	286	18	170	0.594	0.723
chr10	1021516	1022581	1066	68	601	0.564	0.83
chr10	1033860	1034894	1035	88	693	0.67	0.764
chr10	1042095	1042210	116	8	67	0.578	0.871
chr10	1057868	1058052	185	7	97	0.524	0.564
chr10	1083123	1083312	190	8	105	0.553	0.556
chr10	1084818	1084937	120	7	81	0.675	0.526
chr10	1094264	1095580	1317	139	879	0.667	0.963
chr10	1102176	1103342	1167	114	814	0.698	0.828
chr10	1120423	1120894	472	27	278	0.589	0.69
chr10	1129680	1129815	136	10	85	0.625	0.754
chr10	1135616	1135740	125	10	72	0.576	1.136
chr10	1142233	1142752	520	25	279	0.537	0.678
chr10	1147630	1148272	643	48	375	0.583	0.883
chr10	1149661	1149762	102	10	67	0.657	0.926
chr10	1156482	1156617	136	9	82	0.603	0.785
chr10	1166428	1167028	601	33	319	0.531	0.785
chr10	1167737	1167838	102	10	63	0.618	1.03
chr10	1174751	1175008	258	16	164	0.636	0.623
chr10	1175670	1175781	112	6	63	0.562	0.699
chr10	1198658	1198928	271	14	178	0.657	0.483
chr10	1200124	1200278	155	8	94	0.606	0.561
chr10	1205120	1205835	716	52	447	0.624	0.749
chr10	1206614	1206729	116	9	72	0.621	0.806
chr10	1209363	1209472	110	14	72	0.655	1.192
chr10	1213310	1213490	181	10	80	0.442	1.167
chr10	1219176	1219428	253	21	158	0.625	0.851
chr10	1222477	1222722	246	10	126	0.512	0.62
chr10	1228357	1228494	138	11	93	0.674	0.709
chr10	1228949	1229069	121	11	65	0.537	1.26
chr10	1230836	1231517	682	37	384	0.563	0.685
chr10	1235771	1236130	360	18	206	0.572	0.619
chr10	1245458	1245588	131	10	98	0.748	0.548
chr10	1245888	1246046	159	14	109	0.686	0.768
chr10	1247465	1247714	250	13	149	0.596	0.587
chr10	1248720	1248825	106	8	51	0.481	1.329
chr10	1251701	1252801	1101	58	665	0.604	0.579
chr10	1256369	1256671	303	13	155	0.512	0.658
chr10	1259970	1260514	545	30	331	0.607	0.599
chr10	1262943	1263393	451	25	285	0.632	0.56
chr10	1281538	1282084	547	23	348	0.636	0.563
chr10	1284161	1284423	263	20	182	0.692	0.651
chr10	1285330	1285537	208	12	104	0.5	0.952
chr10	1286380	1286761	382	21	207	0.542	0.752
chr10	1307603	1308384	782	61	572	0.731	0.583
chr10	1344415	1344589	175	13	100	0.571	0.916
chr10	1368988	1370416	1429	87	977	0.684	0.612
chr10	1382405	1383128	724	45	441	0.609	0.773
chr10	1383551	1383850	300	16	175	0.583	0.696
chr10	1392631	1393205	575	17	271	0.471	0.588
chr10	1401881	1402428	548	24	320	0.584	0.514
chr10	1404611	1406220	1610	173	1151	0.715	0.85
chr10	1410515	1410628	114	6	66	0.579	0.633
chr10	1416041	1416250	210	23	138	0.657	1.046
chr10	1416546	1417010	465	31	278	0.598	0.747
chr10	1437887	1438231	345	14	205	0.594	0.462
chr10	1438467	1438565	99	11	71	0.717	0.947
chr10	1438730	1440581	1852	97	1248	0.674	0.498
chr10	1443194	1443879	686	33	427	0.622	0.497
chr10	1444483	1444810	328	13	168	0.512	0.613
chr10	1445095	1445387	293	18	195	0.666	0.555
chr10	1446938	1447232	295	12	148	0.502	0.647
chr10	1452997	1453130	134	7	81	0.604	0.576
chr10	1453842	1454006	165	12	98	0.594	0.828
chr10	1454225	1454477	253	14	143	0.565	0.723
chr10	1454848	1454946	99	5	61	0.616	0.589
chr10	1462896	1463130	235	10	128	0.545	0.575
chr10	1502612	1502818	207	12	109	0.527	0.848
chr10	1505595	1505702	108	8	60	0.556	0.987
chr10	1506191	1507386	1196	68	772	0.645	0.546
chr10	1507656	1507739	84	8	57	0.679	0.834
chr10	1509144	1509412	269	9	132	0.491	0.56
chr10	1509578	1510107	530	19	274	0.517	0.538
chr10	1510986	1511458	473	15	242	0.512	0.485
chr10	1517032	1517314	283	24	190	0.671	0.772
chr10	1530976	1531106	131	8	64	0.489	1.049
chr10	1531221	1531531	311	13	169	0.543	0.572
chr10	1546717	1546878	162	9	99	0.611	0.609
chr10	1547686	1547985	300	15	192	0.64	0.579
chr10	1549879	1550378	500	19	273	0.546	0.518
chr10	1558743	1559259	517	25	266	0.515	0.74
chr10	1560338	1561368	1031	33	477	0.463	0.598
chr10	1567807	1568153	347	18	185	0.533	0.865
chr10	1570288	1570420	133	11	75	0.564	1.049
chr10	1577156	1577692	537	25	291	0.542	0.634
chr10	1582589	1585456	2868	136	1755	0.612	0.55
chr10	1595592	1596031	440	25	230	0.523	0.832
chr10	1602080	1602189	110	7	66	0.6	0.71
chr10	1602627	1602766	140	16	96	0.686	0.974
chr10	1651293	1651417	125	10	82	0.656	0.744
chr10	1654250	1654423	174	8	107	0.615	0.494
chr10	1668646	1668983	338	19	210	0.621	0.593
chr10	1669235	1669349	115	8	75	0.652	0.722
chr10	1690736	1690990	255	11	115	0.451	0.854
chr10	1692863	1693109	247	13	139	0.563	0.673
chr10	1705005	1705179	175	9	105	0.6	0.573
chr10	1705562	1705649	88	9	62	0.705	0.943
chr10	1708537	1708789	253	15	155	0.613	0.649
chr10	1712950	1713123	174	11	105	0.603	0.709
chr10	1713335	1713430	96	7	65	0.677	0.649
chr10	1713946	1714848	903	43	537	0.595	0.549
chr10	1715842	1715881	40	6	22	0.55	2.286
chr10	1741455	1744084	2630	173	1601	0.609	0.817
chr10	1749399	1749572	174	9	102	0.586	0.606
chr10	1767471	1768031	561	27	309	0.551	0.637
chr10	1769525	1769638	114	5	68	0.596	0.563
chr10	1774852	1774961	110	10	81	0.736	0.694
chr10	1778584	1780005	1422	101	908	0.639	0.698
chr10	1789119	1789438	320	28	162	0.506	1.445
chr10	1796691	1796808	118	7	68	0.576	0.72
chr10	1814066	1814178	113	9	70	0.619	0.848
chr10	1815498	1815888	391	25	235	0.601	0.717
chr10	1850239	1850407	169	17	117	0.692	0.873
chr10	1851418	1851602	185	17	120	0.649	0.874
chr10	1889696	1890059	364	19	230	0.632	0.525
chr10	1975553	1975666	114	11	67	0.588	1.12
chr10	1981418	1981711	294	20	158	0.537	0.942
chr10	1994531	1995342	812	53	515	0.634	0.652
chr10	2005650	2005990	341	22	204	0.598	0.747
chr10	2006724	2006811	88	12	66	0.75	0.978
chr10	2141681	2141837	157	11	78	0.497	1.148
chr10	2210611	2211057	447	13	227	0.508	0.451
chr10	2249628	2249999	372	19	208	0.559	0.662
chr10	2257509	2257745	237	14	102	0.43	1.327
chr10	2267231	2267336	106	6	56	0.528	0.85
chr10	2357323	2357511	189	21	133	0.704	0.902
chr10	2359812	2359928	117	7	69	0.59	0.688
chr10	2370980	2371465	486	18	244	0.502	0.588
chr10	2373523	2373658	136	9	74	0.544	0.905
chr10	2374149	2374376	228	11	124	0.544	0.653
chr10	2393889	2394189	301	14	141	0.468	0.867
chr10	2453012	2453221	210	10	117	0.557	0.624
chr10	2543436	2544122	687	69	414	0.603	1.245
chr10	2563768	2565301	1534	109	975	0.636	0.976
chr10	2666971	2667431	461	18	212	0.46	0.756
chr10	2775899	2776058	160	10	87	0.544	0.848
chr10	2815081	2815325	245	17	159	0.649	0.66
chr10	2815458	2815567	110	6	59	0.536	0.769
chr10	2848725	2849056	332	26	213	0.642	0.762
chr10	2907798	2908336	539	32	342	0.635	0.614
chr10	2931840	2932745	906	47	525	0.579	0.618
chr10	2936384	2936512	129	9	75	0.581	0.826
chr10	2951187	2951328	142	6	81	0.57	0.52
chr10	2964704	2964832	129	11	86	0.667	0.778
chr10	2978022	2978234	213	13	134	0.629	0.641
chr10	2978371	2978815	445	25	246	0.553	0.737
chr10	2992148	2992540	393	20	206	0.524	0.741
chr10	3023713	3023806	94	9	58	0.617	1.037
chr10	3057951	3058188	238	13	124	0.521	0.81
chr10	3062953	3063377	425	22	231	0.544	0.703
chr10	3108466	3111597	3132	327	2223	0.71	0.83
chr10	3138418	3138540	123	7	78	0.634	0.576
chr10	3141803	3142002	200	10	107	0.535	0.739
chr10	3142720	3142866	147	8	90	0.612	0.581
chr10	3143254	3143358	105	5	67	0.638	0.473
chr10	3143559	3143809	251	18	163	0.649	0.69
chr10	3145964	3146252	289	25	179	0.619	0.903
chr10	3146486	3147073	588	26	329	0.56	0.57
chr10	3147355	3147728	374	21	234	0.626	0.582
chr10	3148129	3148496	368	20	241	0.655	0.514
chr10	3149698	3149798	101	8	62	0.614	0.844
chr10	3150852	3151108	257	16	156	0.607	0.68
chr10	3151612	3151814	203	15	131	0.645	0.732
chr10	3155204	3155694	491	29	292	0.595	0.673
chr10	3159037	3159124	88	5	45	0.511	0.88
chr10	3160912	3161154	243	21	137	0.564	1.089
chr10	3162025	3162317	293	22	188	0.642	0.754
chr10	3163562	3163720	159	6	77	0.484	0.669
chr10	3164709	3164832	124	8	80	0.645	0.63
chr10	3165152	3165515	364	20	208	0.571	0.673
chr10	3166279	3167416	1138	54	708	0.622	0.493
chr10	3168119	3168269	151	10	96	0.636	0.656
chr10	3168669	3169487	819	35	481	0.587	0.496
chr10	3171294	3172602	1309	63	756	0.578	0.58
chr10	3179752	3179833	82	7	53	0.646	0.818
chr10	3180207	3181128	922	48	538	0.584	0.612
chr10	3185744	3185896	153	8	103	0.673	0.462
chr10	3187718	3187895	178	13	105	0.59	0.849
chr10	3190333	3190511	179	12	109	0.609	0.724
chr10	3192898	3193453	556	23	279	0.502	0.659
chr10	3197646	3197791	146	8	80	0.548	0.737
chr10	3214503	3215261	759	78	530	0.698	0.845
chr10	3235499	3235599	101	7	58	0.574	0.85
chr10	3239753	3240090	338	14	178	0.527	0.599
chr10	3248143	3248386	244	12	157	0.643	0.475
chr10	3250799	3251138	340	17	215	0.632	0.5
chr10	3277058	3277194	137	8	71	0.518	0.972
chr10	3278319	3278466	148	9	87	0.588	0.705
chr10	3280716	3281240	525	23	327	0.623	0.453
chr10	3281446	3282026	581	32	336	0.578	0.665
chr10	3282227	3282662	436	15	246	0.564	0.433
chr10	3283819	3284143	325	16	168	0.517	0.744
chr10	3300398	3300463	66	7	39	0.591	1.235
chr10	3319244	3319372	129	7	63	0.488	0.91
chr10	3329795	3330573	779	38	426	0.547	0.657
chr10	3342888	3343218	331	19	169	0.511	0.882
chr10	3360068	3361409	1342	94	861	0.642	0.686
chr10	3362307	3363047	741	37	447	0.603	0.551
chr10	3373668	3373775	108	8	66	0.611	0.843
chr10	3374038	3374384	347	22	197	0.568	0.798
chr10	3418942	3419233	292	14	146	0.5	0.772
chr10	3419793	3419960	168	10	83	0.494	0.979
chr10	3440192	3440400	209	14	127	0.608	0.75
chr10	3441411	3441856	446	38	265	0.594	1.016
chr10	3446995	3447200	206	7	98	0.476	0.607
chr10	3448994	3449092	99	5	49	0.495	0.833
chr10	3457013	3457120	108	8	67	0.62	0.784
chr10	3466677	3466888	212	12	127	0.599	0.634
chr10	3498591	3501057	2467	133	1345	0.545	0.76
chr10	3536336	3536775	440	18	220	0.5	0.659
chr10	3559223	3559530	308	15	185	0.601	0.565
chr10	3572591	3572753	163	10	100	0.613	0.652
chr10	3576805	3577087	283	11	151	0.534	0.564
chr10	3581087	3581279	193	12	119	0.617	0.66
chr10	3598479	3598993	515	38	302	0.586	0.875
chr10	3678890	3679161	272	14	151	0.555	0.668
chr10	3689753	3689833	81	5	40	0.494	1.08
chr10	3710935	3710982	48	4	29	0.604	0.923
chr10	3724539	3724612	74	5	45	0.608	0.74
chr10	3759599	3759731	133	6	72	0.541	0.628
chr10	3789537	3789652	116	9	74	0.638	0.791
chr10	3789934	3789982	49	5	27	0.551	1.441
chr10	3805227	3805363	137	12	86	0.628	0.93
chr10	3817215	3817395	181	7	87	0.481	0.67
chr10	3823800	3824299	500	29	294	0.588	0.672
chr10	3825973	3826494	522	19	260	0.498	0.587
chr10	3826863	3827646	784	93	563	0.718	0.927
chr10	3827766	3828308	543	52	398	0.733	0.765
chr10	3868200	3868529	330	15	195	0.591	0.527
chr10	3870112	3870227	116	13	63	0.543	1.587
chr10	3928521	3928628	108	7	74	0.685	0.559
chr10	3983323	3983585	263	11	138	0.525	0.608
chr10	4035307	4035713	407	20	223	0.548	0.656
chr10	4071880	4072018	139	6	63	0.453	0.867
chr10	4191559	4191835	277	13	163	0.588	0.575
chr10	4230353	4230789	437	23	243	0.556	0.684
chr10	4445847	4446346	500	20	233	0.466	0.744
chr10	4500032	4500216	185	8	107	0.578	0.552
chr10	4500415	4500593	179	7	93	0.52	0.625
chr10	4868126	4868935	810	83	563	0.695	0.851
chr10	4886352	4886490	139	8	76	0.547	0.841
chr10	4887092	4887484	393	26	280	0.712	0.522
chr10	4979014	4979163	150	6	78	0.52	0.618
chr10	4979658	4979855	198	13	142	0.717	0.517
chr10	5074943	5075052	110	8	84	0.764	0.503
chr10	5287419	5287696	278	21	168	0.604	0.828
chr10	5406901	5407170	270	16	152	0.563	0.748
chr10	5454480	5455146	667	53	473	0.709	0.683
chr10	5488564	5488687	124	12	83	0.669	0.867
chr10	5523052	5523278	227	12	128	0.564	0.667
chr10	5523660	5523801	142	9	90	0.634	0.636
chr10	5540819	5541425	607	54	407	0.671	0.798
chr10	5552900	5553097	198	9	91	0.46	0.92
chr10	5553341	5554626	1286	73	769	0.598	0.653
chr10	5566908	5567829	922	73	616	0.668	0.712
chr10	5576256	5576750	495	28	286	0.578	0.693
chr10	5619057	5619579	523	35	353	0.675	1.462
chr10	5658239	5658494	256	27	207	0.809	0.792
chr10	5666661	5667183	523	32	304	0.581	0.726
chr10	5681092	5681210	119	8	71	0.597	0.763
chr10	5683713	5684012	300	22	169	0.563	0.93
chr10	5688470	5688863	394	16	196	0.497	0.657
chr10	5690528	5691109	582	35	341	0.586	0.743
chr10	5693305	5693503	199	11	104	0.523	0.81
chr10	5707981	5708887	907	116	651	0.718	0.997
chr10	5726504	5727698	1195	124	782	0.654	0.973
chr10	5734472	5735007	536	41	365	0.681	0.662
chr10	5854736	5856102	1367	147	948	0.693	0.896
chr10	5882319	5882636	318	21	193	0.607	0.723
chr10	5930787	5932804	2018	229	1482	0.734	0.846
chr10	5978344	5978404	61	5	34	0.557	1.089
chr10	6003524	6003799	276	11	159	0.576	0.482
chr10	6018666	6020124	1459	154	1049	0.719	0.834
chr10	6097695	6097800	106	11	87	0.821	0.635
chr10	6130518	6132015	1498	136	968	0.646	0.87
chr10	6183455	6183596	142	12	87	0.613	0.915
chr10	6186521	6187856	1336	153	984	0.737	0.852
chr10	6205565	6206205	641	80	472	0.736	0.932
chr10	6220910	6221041	132	6	68	0.515	0.686
chr10	6221267	6221303	37	4	23	0.622	1.175
chr10	6233666	6233850	185	11	102	0.551	0.868
chr10	6242775	6245676	2902	274	1970	0.679	0.823
chr10	6245919	6246399	481	47	339	0.705	0.791
chr10	6248503	6249294	792	54	534	0.674	0.6
chr10	6257175	6257377	203	16	129	0.635	0.822
chr10	6262673	6262847	175	16	116	0.663	0.832
chr10	6263457	6263539	83	8	58	0.699	0.838
chr10	6264737	6264913	177	9	118	0.667	0.458
chr10	6268236	6268590	355	22	217	0.611	0.669
chr10	6274912	6275099	188	12	114	0.606	0.694
chr10	6278364	6279102	739	36	440	0.595	0.55
chr10	6297728	6297913	186	11	112	0.602	0.656
chr10	6417301	6417577	277	23	166	0.599	0.936
chr10	6472725	6472869	145	10	87	0.6	0.769
chr10	6531548	6531921	374	17	215	0.575	0.652
chr10	6621908	6622909	1002	95	688	0.687	0.806
chr10	6962111	6962203	93	8	59	0.634	0.857
chr10	7139311	7139470	160	7	88	0.55	0.604
chr10	7213917	7214185	269	29	194	0.721	0.831
chr10	7255535	7255775	241	16	148	0.614	0.779
chr10	7376014	7376230	217	13	129	0.594	0.687
chr10	7376577	7376728	152	7	76	0.5	0.763
chr10	7409615	7409752	138	13	87	0.63	0.97
chr10	7449440	7450357	918	81	599	0.653	0.83
chr10	7450499	7451936	1438	95	865	0.602	0.791
chr10	7452242	7455340	3099	241	1981	0.639	0.765
chr10	7475570	7475675	106	5	49	0.462	0.886
chr10	7567819	7568225	407	22	226	0.555	0.717
chr10	7603749	7603874	126	7	73	0.579	0.7
chr10	7618474	7618616	143	10	97	0.678	0.609
chr10	7621760	7621951	192	15	118	0.615	0.831
chr10	7670719	7671503	785	35	380	0.484	0.806
chr10	7708240	7708428	189	8	99	0.524	0.619
chr10	7708554	7709303	750	74	583	0.777	0.689
chr10	7709609	7710034	426	25	281	0.66	0.603
chr10	7714896	7714996	101	10	50	0.495	1.616
chr10	7829617	7830850	1234	88	798	0.647	0.688
chr10	7859691	7859784	94	9	60	0.638	0.949
chr10	7860012	7861448	1437	106	871	0.606	0.812
chr10	8051088	8051316	229	31	181	0.79	0.905
chr10	8056703	8056918	216	13	141	0.653	0.565
chr10	8075975	8077495	1521	107	975	0.641	0.688
chr10	8077843	8078379	537	40	345	0.642	0.726
chr10	8079205	8079930	726	37	381	0.525	0.745
chr10	8085072	8086079	1008	54	665	0.66	0.5
chr10	8087114	8087469	356	21	208	0.584	0.692
chr10	8089647	8089947	301	15	167	0.555	0.674
chr10	8090821	8091002	182	14	123	0.676	0.703
chr10	8091183	8092177	995	86	650	0.653	0.811
chr10	8092303	8094570	2268	191	1503	0.663	0.776
chr10	8094772	8094862	91	6	49	0.538	0.978
chr10	8095330	8096178	849	66	520	0.612	0.829
chr10	8096305	8096674	370	41	265	0.716	0.866
chr10	8096991	8097330	340	31	241	0.709	0.726
chr10	8097540	8098322	783	80	547	0.699	0.837
chr10	8100419	8100751	333	28	235	0.706	0.735
chr10	8117354	8117538	185	9	108	0.584	0.576
chr10	8125627	8125747	121	10	75	0.62	0.862
chr10	8137960	8138060	101	6	56	0.554	0.777
chr10	8203232	8203306	75	7	42	0.56	1.19
chr10	8203891	8204043	153	10	90	0.588	0.765
chr10	8277249	8277525	277	12	140	0.505	0.699
chr10	8302769	8302852	84	8	58	0.69	0.835
chr10	8373290	8373725	436	16	216	0.495	0.601
chr10	8374341	8374660	320	26	207	0.647	0.782
chr10	8378732	8378942	211	8	97	0.46	0.74
chr10	8555698	8556301	604	36	376	0.623	0.623
chr10	8910499	8911297	799	57	543	0.68	0.619
chr10	9099472	9099643	172	11	91	0.529	0.933
chr10	9225344	9225710	367	36	269	0.733	0.732
chr10	9226279	9226498	220	16	121	0.55	1.012
chr10	9315067	9315831	765	69	572	0.748	0.645
chr10	9449059	9450210	1152	74	722	0.627	0.655
chr10	9919799	9920221	423	15	211	0.499	0.57
chr10	10308228	10308860	633	32	336	0.531	0.738
chr10	10336914	10337522	609	29	350	0.575	0.579
chr10	10692874	10693150	277	21	162	0.585	0.893
chr10	10738671	10738914	244	16	138	0.566	0.831
chr10	11049669	11049895	227	8	100	0.441	0.731
chr10	11059373	11060050	678	90	499	0.736	0.981
chr10	11060159	11060861	703	103	527	0.75	1.112
chr10	11085791	11086074	284	12	158	0.556	0.602
chr10	11088169	11088281	113	8	67	0.593	0.81
chr10	11198266	11198604	339	13	146	0.431	0.874
chr10	11207099	11207915	817	60	522	0.639	0.722
chr10	11246596	11246770	175	9	104	0.594	0.6
chr10	11298767	11299111	345	13	184	0.533	0.531
chr10	11317753	11317874	122	9	72	0.59	0.853
chr10	11322002	11322398	397	18	245	0.617	0.483
chr10	11343331	11343677	347	20	259	0.746	0.488
chr10	11343824	11344016	193	13	128	0.663	0.613
chr10	11344255	11344401	147	9	89	0.605	0.672
chr10	11357620	11357813	194	13	112	0.577	0.814
chr10	11381801	11382029	229	11	141	0.616	0.508
chr10	11385847	11386857	1011	77	644	0.637	0.751
chr10	11483256	11483759	504	19	270	0.536	0.525
chr10	11485460	11485782	323	16	177	0.548	0.665
chr10	11504503	11505755	1253	62	696	0.555	0.646
chr10	11652815	11653953	1139	148	823	0.723	1.009
chr10	11779146	11779409	264	23	158	0.598	0.986
chr10	11784053	11785307	1255	122	890	0.709	0.778
chr10	11797433	11797862	430	20	245	0.57	0.577
chr10	11805122	11805370	249	15	157	0.631	0.625
chr10	11825795	11826147	353	14	201	0.569	0.5
chr10	11837572	11837682	111	9	70	0.631	1.348
chr10	11846467	11847261	795	40	491	0.618	0.535
chr10	11865163	11865985	823	109	633	0.769	0.905
