node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
RACGAP1	KIF23	1849236	1844781	ENSP00000309871	ENSP00000260363	0.000	0.000	0.000	0.000	0.578	0.996	0.900	0.979	0.999
DHX9	HNRNPA1	1854615	1852510	ENSP00000356520	ENSP00000341826	0.000	0.000	0.000	0.000	0.082	0.603	0.900	0.472	0.978
CD44	SRGN	1860096	1843628	ENSP00000398632	ENSP00000242465	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.330	0.703
SMC3	SMC2	1854200	1847012	ENSP00000354720	ENSP00000286398	0.000	0.000	0.395	0.658	0.256	0.606	0.000	0.829	0.808
THBD	CCR7	1856612	1843829	ENSP00000366307	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
DHX9	EZH2	1854615	1850211	ENSP00000356520	ENSP00000320147	0.000	0.000	0.000	0.000	0.000	0.321	0.000	0.290	0.497
CXCR3	CXCR5	1855969	1847335	ENSP00000362795	ENSP00000292174	0.000	0.000	0.000	0.876	0.000	0.000	0.900	0.634	0.907
LIN9	RB1	1851108	1845924	ENSP00000329102	ENSP00000267163	0.000	0.000	0.000	0.000	0.183	0.820	0.000	0.337	0.894
CXCR3	CCL19	1855969	1849114	ENSP00000362795	ENSP00000308815	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.745	0.973
EZH2	RB1	1850211	1845924	ENSP00000320147	ENSP00000267163	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.608	0.631
RUNX2	EZH2	1855482	1850211	ENSP00000360493	ENSP00000320147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.840	0.840
CXCR3	CXCL13	1855969	1847033	ENSP00000362795	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.505	0.977
EZH2	EED	1850211	1845338	ENSP00000320147	ENSP00000263360	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.988	0.999
CD44	MMP7	1860096	1844765	ENSP00000398632	ENSP00000260227	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.358	0.970
PF4	CCR7	1847665	1843829	ENSP00000296029	ENSP00000246657	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.342	0.862
SMARCA1	SMARCE1	1855408	1850602	ENSP00000360163	ENSP00000323967	0.000	0.000	0.000	0.000	0.000	0.197	0.000	0.566	0.636
PF4	SRGN	1847665	1843628	ENSP00000296029	ENSP00000242465	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.303	0.967
RBBP4	EED	1855919	1845338	ENSP00000362592	ENSP00000263360	0.000	0.000	0.000	0.000	0.085	0.969	0.900	0.658	0.998
